TITLE	
DATA TYPE	INFRARED SPECTRUM
ORIGIN	JASCO
OWNER	
DATE	20/01/21
TIME	10:59:54
SPECTROMETER/DATA SYSTEM	
RESOLUTION	
DELTAX	0.964233
XUNITS	1/CM
YUNITS	TRANSMITTANCE
FIRSTX	  399.1927
LASTX	 4000.6047
NPOINTS	    3736
FIRSTY	    95.76181
MAXY	    99.77000
MINY	    86.11848
XYDATA
399.1927	95.7618
400.1569	95.8806
401.1211	96.0042
402.0854	96.1327
403.0496	96.268
404.0138	96.4128
404.9781	96.5692
405.9423	96.738
406.9065	96.9184
407.8708	97.108
408.8350	97.3033
409.7992	97.4929
410.7635	97.6714
411.7277	97.836
412.6919	97.9866
413.6562	98.1247
414.6204	98.2527
415.5846	98.3727
416.5489	98.4864
417.5131	98.5949
418.4773	98.6976
419.4416	98.797
420.4058	98.8915
421.3700	98.9774
422.3343	99.0511
423.2985	99.1105
424.2627	99.1558
425.2270	99.1895
426.1912	99.2159
427.1554	99.2393
428.1197	99.2631
429.0839	99.2883
430.0481	99.3138
431.0124	99.3369
431.9766	99.3549
432.9408	99.3659
433.9051	99.3695
434.8693	99.3661
435.8335	99.3564
436.7978	99.3418
437.7620	99.3238
438.7262	99.3047
439.6905	99.2867
440.6547	99.2712
441.6189	99.2583
442.5832	99.2466
443.5474	99.2332
444.5116	99.215
445.4759	99.1895
446.4401	99.1559
447.4043	99.1151
448.3686	99.0689
449.3328	99.0196
450.2970	98.9685
451.2613	98.9161
452.2255	98.8621
453.1897	98.806
454.1540	98.748
455.1182	98.6882
456.0824	98.6272
457.0467	98.5648
458.0109	98.5005
458.9751	98.4335
459.9394	98.3635
460.9036	98.2915
461.8678	98.2191
462.8321	98.1483
463.7963	98.0808
464.7605	98.0175
465.7248	97.9584
466.6890	97.9033
467.6532	97.8523
468.6175	97.8061
469.5817	97.7652
470.5459	97.7305
471.5102	97.702
472.4744	97.6794
473.4386	97.6618
474.4029	97.6481
475.3671	97.6377
476.3313	97.6303
477.2956	97.6258
478.2598	97.6241
479.2240	97.6251
480.1883	97.6283
481.1525	97.6331
482.1167	97.6391
483.0810	97.6458
484.0452	97.653
485.0094	97.6606
485.9737	97.6683
486.9379	97.6756
487.9021	97.6816
488.8664	97.6855
489.8306	97.6864
490.7948	97.6839
491.7591	97.6785
492.7233	97.6711
493.6875	97.6627
494.6518	97.6543
495.6160	97.6466
496.5802	97.6395
497.5445	97.6327
498.5087	97.6262
499.4729	97.6197
500.4372	97.6137
501.4014	97.6088
502.3656	97.6054
503.3299	97.6036
504.2941	97.6033
505.2583	97.6042
506.2226	97.606
507.1868	97.6091
508.1510	97.6135
509.1153	97.6197
510.0795	97.6277
511.0437	97.6371
512.0080	97.6476
512.9722	97.6593
513.9365	97.6723
514.9007	97.6871
515.8649	97.7045
516.8292	97.7248
517.7934	97.7482
518.7576	97.7738
519.7219	97.8008
520.6861	97.8281
521.6503	97.8551
522.6146	97.8815
523.5788	97.9078
524.5430	97.9345
525.5073	97.9622
526.4715	97.9911
527.4357	98.0209
528.4000	98.0511
529.3642	98.0807
530.3284	98.1087
531.2927	98.1339
532.2569	98.1551
533.2211	98.171
534.1854	98.1803
535.1496	98.1819
536.1138	98.1753
537.0781	98.1603
538.0423	98.1376
539.0065	98.1075
539.9708	98.0706
540.9350	98.027
541.8992	97.9765
542.8635	97.9184
543.8277	97.8522
544.7919	97.7775
545.7562	97.6943
546.7204	97.6031
547.6846	97.5048
548.6489	97.4004
549.6131	97.2911
550.5773	97.1783
551.5416	97.0633
552.5058	96.9475
553.4700	96.8323
554.4343	96.7187
555.3985	96.6079
556.3627	96.5004
557.3270	96.3969
558.2912	96.298
559.2554	96.2046
560.2197	96.1176
561.1839	96.038
562.1481	95.9669
563.1124	95.905
564.0766	95.8527
565.0408	95.8103
566.0051	95.7773
566.9693	95.7534
567.9335	95.738
568.8978	95.7307
569.8620	95.7308
570.8262	95.7379
571.7905	95.7513
572.7547	95.7703
573.7189	95.7943
574.6832	95.8226
575.6474	95.8546
576.6116	95.8896
577.5759	95.9266
578.5401	95.9646
579.5043	96.0021
580.4686	96.0376
581.4328	96.0699
582.3970	96.0981
583.3613	96.1216
584.3255	96.1401
585.2897	96.1534
586.2540	96.1612
587.2182	96.1632
588.1824	96.1591
589.1467	96.1489
590.1109	96.1329
591.0751	96.1116
592.0394	96.0859
593.0036	96.0565
593.9678	96.024
594.9321	95.9892
595.8963	95.953
596.8605	95.9166
597.8248	95.8812
598.7890	95.8484
599.7532	95.8194
600.7175	95.7954
601.6817	95.7771
602.6459	95.7653
603.6102	95.7604
604.5744	95.7628
605.5386	95.7727
606.5029	95.7901
607.4671	95.8148
608.4313	95.8466
609.3956	95.8846
610.3598	95.9283
611.3240	95.9767
612.2883	96.0287
613.2525	96.0833
614.2167	96.1391
615.1810	96.1951
616.1452	96.25
617.1094	96.303
618.0737	96.3533
619.0379	96.4004
620.0021	96.4437
620.9664	96.483
621.9306	96.518
622.8948	96.5488
623.8591	96.5755
624.8233	96.5983
625.7875	96.6174
626.7518	96.6327
627.7160	96.6445
628.6802	96.6528
629.6445	96.658
630.6087	96.661
631.5729	96.6624
632.5372	96.6633
633.5014	96.6643
634.4656	96.6659
635.4299	96.6683
636.3941	96.6717
637.3583	96.6761
638.3226	96.6815
639.2868	96.688
640.2510	96.6957
641.2153	96.7044
642.1795	96.7139
643.1437	96.7243
644.1080	96.7352
645.0722	96.7467
646.0364	96.7585
647.0007	96.7702
647.9649	96.7812
648.9291	96.7909
649.8934	96.7984
650.8576	96.8031
651.8218	96.8052
652.7861	96.8051
653.7503	96.8033
654.7145	96.8
655.6788	96.7955
